Puntos;100 ml;110 mv;200 ml;400 ml;400 mv;800 ml;1.500 ml;3.000 ml;3.000 obs;5.000 ml;10.000 ml;5.000 mm;10.000 mm;Salto de Altura;Salto con Pertiga;Salto de Longitud;Triple Salto;Lanzamiento de Peso;Lanzamiento de Disco;Lanzamiento de Martillo;Lanzamiento de Javalina
950;;14,66;21,82;48,49;53,78;1:52.73;3:52.14;8:18.58;9:10.83;14:15.21;30:03.53;;44:24;;;7,13;14,97;17,13;53,96;64,1;69,32
949;10,79;;21,83;48,51;53,8;1:52.76;3:52.22;8:18.76;9:11.08;14:15.52;30:04.24;21:24;44:26;2,04;;;14,96;17,11;53,91;64,04;69,25
948;;14,67;;48,52;53,83;1:52.80;3:52.30;8:18.94;9:11.33;14:15.83;30:04.94;21:25;44:28;;4,83;7,12;14,95;17,09;53,85;63,97;69,18
947;;14,68;21,84;48,54;53,85;1:52.84;3:52.38;8:19.12;9:11.58;14:16.13;30:05.65;21:26;44:29;;;;14,94;17,08;53,8;63,91;69,11
946;10,8;;21,85;48,56;53,87;1:52.87;3:52.46;8:19.30;9:11.82;14:16.44;30:06.36;21:27;44:31;;;7,11;14,93;17,06;53,75;63,84;69,04
945;;14,69;21,86;48,57;53,89;1:52.91;3:52.54;8:19.48;9:12.07;14:16.75;30:07.07;;44:32;;4,82;;14,92;17,04;53,69;63,78;68,97
944;;;;48,59;53,91;1:52.95;3:52.62;8:19.66;9:12.32;14:17.06;30:07.79;21:28;44:34;;;;14,91;17,03;53,64;63,71;68,9
943;10,81;14,7;21,87;48,6;53,94;1:52.98;3:52.70;8:19.84;9:12.57;14:17.37;30:08.50;21:29;44:35;;;7,1;14,9;17,01;53,58;63,64;68,83
942;;14,71;21,88;48,62;53,96;1:53.02;3:52.79;8:20.02;9:12.81;14:17.68;30:09.21;21:30;44:37;;4,81;;14,89;16,99;53,53;63,58;68,76
941;;;;48,64;53,98;1:53.06;3:52.87;8:20.20;9:13.06;14:17.99;30:09.92;;44:38;;;7,09;14,88;16,98;53,47;63,51;68,69
940;10,82;14,72;21,89;48,65;54;1:53.09;3:52.95;8:20.38;9:13.31;14:18.30;30:10.63;21:31;44:40;2,03;4,8;;14,87;16,96;53,42;63,45;68,62
939;;;21,9;48,67;54,02;1:53.13;3:53.03;8:20.56;9:13.56;14:18.61;30:11.34;21:32;44:41;;;7,08;;16,94;53,36;63,38;68,55
938;;14,73;21,91;48,68;54,05;1:53.17;3:53.11;8:20.74;9:13.81;14:18.92;30:12.06;21:33;44:43;;;;14,86;16,93;53,31;63,32;68,48
937;10,83;;;48,7;54,07;1:53.20;3:53.19;8:20.92;9:14.06;14:19.23;30:12.77;21:34;44:44;;4,79;7,07;14,85;16,91;53,25;63,25;68,41
936;;14,74;21,92;48,72;54,09;1:53.24;3:53.27;8:21.10;9:14.30;14:19.54;30:13.48;;44:46;;;;14,84;16,89;53,2;63,19;68,34
935;;14,75;21,93;48,73;54,11;1:53.28;3:53.35;8:21.29;9:14.55;14:19.85;30:14.20;21:35;44:48;;;7,06;14,83;16,88;53,14;63,12;68,26
934;10,84;;21,94;48,75;54,14;1:53.31;3:53.43;8:21.47;9:14.80;14:20.16;30:14.91;21:36;44:49;;4,78;;14,82;16,86;53,09;63,06;68,19
933;;14,76;;48,77;54,16;1:53.35;3:53.51;8:21.65;9:15.05;14:20.47;30:15.63;21:37;44:51;;;7,05;14,81;16,84;53,04;62,99;68,12
932;;;21,95;48,78;54,18;1:53.39;3:53.60;8:21.83;9:15.30;14:20.78;30:16.34;;44:52;2,02;4,77;;14,8;16,82;52,98;62,93;68,05
931;10,85;14,77;21,96;48,8;54,2;1:53.42;3:53.68;8:22.01;9:15.55;14:21.09;30:17.06;21:38;44:54;;;7,04;14,79;16,81;52,93;62,86;67,98
930;;14,78;;48,81;54,22;1:53.46;3:53.76;8:22.19;9:15.80;14:21.40;30:17.78;21:39;44:55;;;;14,78;16,79;52,87;62,8;67,91
929;;;21,97;48,83;54,25;1:53.50;3:53.84;8:22.37;9:16.05;14:21.71;30:18.49;21:40;44:57;;4,76;;14,77;16,77;52,82;62,73;67,84
928;10,86;14,79;21,98;48,85;54,27;1:53.53;3:53.92;8:22.56;9:16.30;14:22.02;30:19.21;21:41;44:58;;;7,03;14,76;16,76;52,76;62,67;67,77
927;;;21,99;48,86;54,29;1:53.57;3:54.00;8:22.74;9:16.55;14:22.33;30:19.93;;45:00;;;;14,75;16,74;52,71;62,6;67,7
926;;14,8;;48,88;54,31;1:53.61;3:54.08;8:22.92;9:16.80;14:22.64;30:20.64;21:42;45:02;;4,75;7,02;14,74;16,72;52,65;62,54;67,63
925;10,87;14,81;22;48,9;54,34;1:53.65;3:54.17;8:23.10;9:17.05;14:22.96;30:21.36;21:43;45:03;;;;14,73;16,71;52,6;62,47;67,56
924;;;22,01;48,91;54,36;1:53.68;3:54.25;8:23.28;9:17.30;14:23.27;30:22.08;21:44;45:05;;4,74;7,01;14,72;16,69;52,54;62,4;67,49
923;;14,82;22,02;48,93;54,38;1:53.72;3:54.33;8:23.47;9:17.55;14:23.58;30:22.80;21:45;45:06;2,01;;;14,71;16,67;52,49;62,34;67,42
922;10,88;;;48,94;54,4;1:53.76;3:54.41;8:23.65;9:17.80;14:23.89;30:23.52;;45:08;;;7;14,7;16,66;52,44;62,27;67,35
921;;14,83;22,03;48,96;54,42;1:53.79;3:54.49;8:23.83;9:18.05;14:24.21;30:24.24;21:46;45:09;;4,73;;14,69;16,64;52,38;62,21;67,28
920;;14,84;22,04;48,98;54,45;1:53.83;3:54.57;8:24.01;9:18.30;14:24.52;30:24.96;21:47;45:11;;;6,99;14,68;16,62;52,33;62,14;67,21
919;10,89;;;48,99;54,47;1:53.87;3:54.66;8:24.20;9:18.55;14:24.83;30:25.68;21:48;45:12;;;;14,67;16,61;52,27;62,08;67,14
918;;14,85;22,05;49,01;54,49;1:53.90;3:54.74;8:24.38;9:18.80;14:25.14;30:26.40;;45:14;;4,72;6,98;14,66;16,59;52,22;62,01;67,06
917;;;22,06;49,03;54,51;1:53.94;3:54.82;8:24.56;9:19.06;14:25.46;30:27.12;21:49;45:16;;;;14,65;16,57;52,16;61,95;66,99
916;10,9;14,86;22,07;49,04;54,54;1:53.98;3:54.90;8:24.74;9:19.31;14:25.77;30:27.84;21:50;45:17;;4,71;6,97;;16,56;52,11;61,88;66,92
915;;14,87;;49,06;54,56;1:54.02;3:54.98;8:24.93;9:19.56;14:26.08;30:28.56;21:51;45:19;;;;14,64;16,54;52,05;61,82;66,85
914;;;22,08;49,08;54,58;1:54.05;3:55.06;8:25.11;9:19.81;14:26.40;30:29.29;21:52;45:20;2;;;14,63;16,52;52;61,75;66,78
913;10,91;14,88;22,09;49,09;54,6;1:54.09;3:55.15;8:25.29;9:20.06;14:26.71;30:30.01;;45:22;;4,7;6,96;14,62;16,51;51,94;61,69;66,71
912;;;22,1;49,11;54,63;1:54.13;3:55.23;8:25.48;9:20.31;14:27.03;30:30.73;21:53;45:23;;;;14,61;16,49;51,89;61,62;66,64
911;;14,89;;49,12;54,65;1:54.16;3:55.31;8:25.66;9:20.57;14:27.34;30:31.45;21:54;45:25;;;6,95;14,6;16,47;51,83;61,56;66,57
910;10,92;14,9;22,11;49,14;54,67;1:54.20;3:55.39;8:25.84;9:20.82;14:27.65;30:32.18;21:55;45:27;;4,69;;14,59;16,45;51,78;61,49;66,5
909;;;22,12;49,16;54,69;1:54.24;3:55.48;8:26.03;9:21.07;14:27.97;30:32.90;21:56;45:28;;;6,94;14,58;16,44;51,73;61,43;66,43
908;;14,91;22,13;49,17;54,72;1:54.28;3:55.56;8:26.21;9:21.32;14:28.28;30:33.63;;45:30;;4,68;;14,57;16,42;51,67;61,36;66,36
907;10,93;;;49,19;54,74;1:54.31;3:55.64;8:26.40;9:21.58;14:28.60;30:34.35;21:57;45:31;;;6,93;14,56;16,4;51,62;61,29;66,29
906;;14,92;22,14;49,21;54,76;1:54.35;3:55.72;8:26.58;9:21.83;14:28.91;30:35.08;21:58;45:33;;;;14,55;16,39;51,56;61,23;66,22
905;;14,93;22,15;49,22;54,78;1:54.39;3:55.80;8:26.76;9:22.08;14:29.23;30:35.80;21:59;45:34;1,99;4,67;6,92;14,54;16,37;51,51;61,16;66,15
904;10,94;;22,16;49,24;54,8;1:54.43;3:55.89;8:26.95;9:22.33;14:29.54;30:36.53;22:00;45:36;;;;14,53;16,35;51,45;61,1;66,08
903;;14,94;;49,26;54,83;1:54.46;3:55.97;8:27.13;9:22.59;14:29.86;30:37.26;;45:38;;;6,91;14,52;16,34;51,4;61,03;66,01
902;;;22,17;49,27;54,85;1:54.50;3:56.05;8:27.32;9:22.84;14:30.18;30:37.98;22:01;45:39;;4,66;;14,51;16,32;51,34;60,97;65,93
901;10,95;14,95;22,18;49,29;54,87;1:54.54;3:56.13;8:27.50;9:23.09;14:30.49;30:38.71;22:02;45:41;;;6,9;14,5;16,3;51,29;60,9;65,86
900;;14,96;;49,31;54,9;1:54.58;3:56.22;8:27.69;9:23.35;14:30.81;30:39.44;22:03;45:42;;4,65;;14,49;16,29;51,23;60,84;65,79
899;;;22,19;49,32;54,92;1:54.61;3:56.30;8:27.87;9:23.60;14:31.12;30:40.17;22:04;45:44;;;6,89;14,48;16,27;51,18;60,77;65,72
898;10,96;14,97;22,2;49,34;54,94;1:54.65;3:56.38;8:28.06;9:23.86;14:31.44;30:40.90;;45:45;;;;14,47;16,25;51,12;60,71;65,65
897;;;22,21;49,35;54,96;1:54.69;3:56.47;8:28.24;9:24.11;14:31.76;30:41.62;22:05;45:47;1,98;4,64;;14,46;16,24;51,07;60,64;65,58
896;;14,98;;49,37;54,99;1:54.73;3:56.55;8:28.43;9:24.36;14:32.07;30:42.35;22:06;45:49;;;6,88;14,45;16,22;51,01;60,58;65,51
895;10,97;14,99;22,22;49,39;55,01;1:54.76;3:56.63;8:28.61;9:24.62;14:32.39;30:43.08;22:07;45:50;;;;14,44;16,2;50,96;60,51;65,44
894;;;22,23;49,4;55,03;1:54.80;3:56.71;8:28.80;9:24.87;14:32.71;30:43.81;22:08;45:52;;4,63;6,87;14,43;16,19;50,91;60,45;65,37
893;;15;22,24;49,42;55,05;1:54.84;3:56.80;8:28.98;9:25.13;14:33.03;30:44.55;;45:53;;;;;16,17;50,85;60,38;65,3
892;10,98;;;49,44;55,08;1:54.88;3:56.88;8:29.17;9:25.38;14:33.34;30:45.28;22:09;45:55;;;6,86;14,42;16,15;50,8;60,31;65,23
891;;15,01;22,25;49,45;55,1;1:54.91;3:56.96;8:29.35;9:25.64;14:33.66;30:46.01;22:10;45:56;;4,62;;14,41;16,13;50,74;60,25;65,16
890;;15,02;22,26;49,47;55,12;1:54.95;3:57.05;8:29.54;9:25.89;14:33.98;30:46.74;22:11;45:58;;;6,85;14,4;16,12;50,69;60,18;65,09
889;10,99;;22,27;49,49;55,14;1:54.99;3:57.13;8:29.72;9:26.15;14:34.30;30:47.47;22:12;46:00;;4,61;;14,39;16,1;50,63;60,12;65,02
888;;15,03;;49,5;55,17;1:55.03;3:57.21;8:29.91;9:26.40;14:34.62;30:48.21;;46:01;1,97;;6,84;14,38;16,08;50,58;60,05;64,95
887;;;22,28;49,52;55,19;1:55.06;3:57.30;8:30.09;9:26.66;14:34.93;30:48.94;22:13;46:03;;;;14,37;16,07;50,52;59,99;64,87
886;11;15,04;22,29;49,54;55,21;1:55.10;3:57.38;8:30.28;9:26.91;14:35.25;30:49.67;22:14;46:04;;4,6;6,83;14,36;16,05;50,47;59,92;64,8
885;;15,05;22,3;49,55;55,23;1:55.14;3:57.46;8:30.47;9:27.17;14:35.57;30:50.41;22:15;46:06;;;;14,35;16,03;50,41;59,86;64,73
884;;;;49,57;55,26;1:55.18;3:57.55;8:30.65;9:27.43;14:35.89;30:51.14;22:16;46:08;;;6,82;14,34;16,02;50,36;59,79;64,66
883;11,01;15,06;22,31;49,59;55,28;1:55.21;3:57.63;8:30.84;9:27.68;14:36.21;30:51.88;;46:09;;4,59;;14,33;16;50,3;59,73;64,59
882;;;22,32;49,6;55,3;1:55.25;3:57.71;8:31.03;9:27.94;14:36.53;30:52.61;22:17;46:11;;;6,81;14,32;15,98;50,25;59,66;64,52
881;;15,07;22,33;49,62;55,33;1:55.29;3:57.80;8:31.21;9:28.19;14:36.85;30:53.35;22:18;46:12;;4,58;;14,31;15,97;50,2;59,6;64,45
880;11,02;15,08;;49,64;55,35;1:55.33;3:57.88;8:31.40;9:28.45;14:37.17;30:54.08;22:19;46:14;;;;14,3;15,95;50,14;59,53;64,38
879;;;22,34;49,65;55,37;1:55.37;3:57.96;8:31.59;9:28.71;14:37.49;30:54.82;22:20;46:16;1,96;;6,8;14,29;15,93;50,09;59,47;64,31
878;;15,09;22,35;49,67;55,39;1:55.40;3:58.05;8:31.77;9:28.96;14:37.81;30:55.56;;46:17;;4,57;;14,28;15,92;50,03;59,4;64,24
877;11,03;;22,36;49,69;55,42;1:55.44;3:58.13;8:31.96;9:29.22;14:38.13;30:56.29;22:21;46:19;;;6,79;14,27;15,9;49,98;59,33;64,17
876;;15,1;;49,7;55,44;1:55.48;3:58.21;8:32.15;9:29.48;14:38.45;30:57.03;22:22;46:20;;;;14,26;15,88;49,92;59,27;64,1
875;;15,11;22,37;49,72;55,46;1:55.52;3:58.30;8:32.33;9:29.74;14:38.77;30:57.77;22:23;46:22;;4,56;6,78;14,25;15,87;49,87;59,2;64,03
874;11,04;;22,38;49,74;55,49;1:55.56;3:58.38;8:32.52;9:29.99;14:39.09;30:58.51;22:24;46:24;;;;14,24;15,85;49,81;59,14;63,96
873;;15,12;22,39;49,75;55,51;1:55.59;3:58.47;8:32.71;9:30.25;14:39.41;30:59.25;;46:25;;4,55;6,77;14,23;15,83;49,76;59,07;63,89
872;;15,13;;49,77;55,53;1:55.63;3:58.55;8:32.90;9:30.51;14:39.73;30:59.99;22:25;46:27;;;;14,22;15,81;49,7;59,01;63,81
871;11,05;;22,4;49,79;55,55;1:55.67;3:58.63;8:33.08;9:30.77;14:40.05;31:00.73;22:26;46:28;;;6,76;14,21;15,8;49,65;58,94;63,74
870;;15,14;22,41;49,8;55,58;1:55.71;3:58.72;8:33.27;9:31.02;14:40.37;31:01.47;22:27;46:30;1,95;4,54;;14,2;15,78;49,59;58,88;63,67
869;11,06;;22,42;49,82;55,6;1:55.75;3:58.80;8:33.46;9:31.28;14:40.70;31:02.21;22:28;46:32;;;6,75;14,19;15,76;49,54;58,81;63,6
868;;15,15;;49,84;55,62;1:55.78;3:58.89;8:33.65;9:31.54;14:41.02;31:02.95;22:29;46:33;;;;14,18;15,75;49,48;58,75;63,53
867;;15,16;22,43;49,85;55,65;1:55.82;3:58.97;8:33.83;9:31.80;14:41.34;31:03.69;;46:35;;4,53;6,74;;15,73;49,43;58,68;63,46
866;11,07;;22,44;49,87;55,67;1:55.86;3:59.05;8:34.02;9:32.06;14:41.66;31:04.43;22:30;46:36;;;;14,17;15,71;49,37;58,62;63,39
865;;15,17;22,45;49,89;55,69;1:55.90;3:59.14;8:34.21;9:32.32;14:41.99;31:05.17;22:31;46:38;;4,52;;14,16;15,7;49,32;58,55;63,32
864;;;;49,9;55,72;1:55.94;3:59.22;8:34.40;9:32.57;14:42.31;31:05.92;22:32;46:40;;;6,73;14,15;15,68;49,27;58,49;63,25
863;11,08;15,18;22,46;49,92;55,74;1:55.98;3:59.31;8:34.59;9:32.83;14:42.63;31:06.66;22:33;46:41;;;;14,14;15,66;49,21;58,42;63,18
862;;15,19;22,47;49,94;55,76;1:56.01;3:59.39;8:34.78;9:33.09;14:42.95;31:07.40;;46:43;1,94;4,51;6,72;14,13;15,65;49,16;58,35;63,11
861;;;22,48;49,96;55,78;1:56.05;3:59.48;8:34.97;9:33.35;14:43.28;31:08.15;22:34;46:44;;;;14,12;15,63;49,1;58,29;63,04
860;11,09;15,2;;49,97;55,81;1:56.09;3:59.56;8:35.15;9:33.61;14:43.60;31:08.89;22:35;46:46;;;6,71;14,11;15,61;49,05;58,22;62,97
859;;15,21;22,49;49,99;55,83;1:56.13;3:59.65;8:35.34;9:33.87;14:43.92;31:09.64;22:36;46:48;;4,5;;14,1;15,6;48,99;58,16;62,9
858;;;22,5;50,01;55,85;1:56.17;3:59.73;8:35.53;9:34.13;14:44.25;31:10.38;22:37;46:49;;;6,7;14,09;15,58;48,94;58,09;62,83
857;11,1;15,22;22,51;50,02;55,88;1:56.21;3:59.82;8:35.72;9:34.39;14:44.57;31:11.13;22:38;46:51;;4,49;;14,08;15,56;48,88;58,03;62,75
856;;;;50,04;55,9;1:56.24;3:59.90;8:35.91;9:34.65;14:44.90;31:11.88;;46:52;;;6,69;14,07;15,54;48,83;57,96;62,68
855;;15,23;22,52;50,06;55,92;1:56.28;3:59.98;8:36.10;9:34.91;14:45.22;31:12.62;22:39;46:54;;;;14,06;15,53;48,77;57,9;62,61
854;11,11;15,24;22,53;50,07;55,95;1:56.32;4:00.07;8:36.29;9:35.17;14:45.54;31:13.37;22:40;46:56;;4,48;6,68;14,05;15,51;48,72;57,83;62,54
853;;;22,54;50,09;55,97;1:56.36;4:00.15;8:36.48;9:35.43;14:45.87;31:14.12;22:41;46:57;1,93;;;14,04;15,49;48,66;57,77;62,47
852;;15,25;;50,11;55,99;1:56.40;4:00.24;8:36.67;9:35.69;14:46.19;31:14.87;22:42;46:59;;;6,67;14,03;15,48;48,61;57,7;62,4
851;11,12;;22,55;50,12;56,02;1:56.44;4:00.32;8:36.86;9:35.95;14:46.52;31:15.61;;47:01;;4,47;;14,02;15,46;48,55;57,64;62,33
850;;15,26;22,56;50,14;56,04;1:56.47;4:00.41;8:37.05;9:36.21;14:46.84;31:16.36;22:43;47:02;;;6,66;14,01;15,44;48,5;57,57;
849;;15,27;22,57;50,16;56,06;1:56.51;4:00.49;8:37.24;9:36.48;14:47.17;31:17.11;22:44;47:04;;4,46;;14;15,43;48,45;57,5;
848;11,13;;;50,18;56,09;1:56.55;4:00.58;8:37.43;9:36.74;14:47.50;31:17.86;22:45;47:05;;;;13,99;15,41;48,39;57,44;
847;;15,28;22,58;50,19;56,11;1:56.59;4:00.66;8:37.62;9:37.00;14:47.82;31:18.61;22:46;47:07;;;6,65;13,98;15,39;48,34;57,37;
846;;15,29;22,59;50,21;56,13;1:56.63;4:00.75;8:37.81;9:37.26;14:48.15;31:19.36;22:47;47:09;;4,45;;13,97;15,38;48,28;57,31;
845;11,14;;22,6;50,23;56,16;1:56.67;4:00.84;8:38.00;9:37.52;14:48.47;31:20.11;;47:10;;;6,64;13,96;15,36;48,23;57,24;
844;;15,3;22,61;50,24;56,18;1:56.71;4:00.92;8:38.19;9:37.78;14:48.80;31:20.87;22:48;47:12;1,92;;;13,95;15,34;48,17;57,18;
843;;;;50,26;56,2;1:56.74;4:01.01;8:38.38;9:38.05;14:49.13;31:21.62;22:49;47:14;;4,44;6,63;13,94;15,33;48,12;57,11;
842;11,15;15,31;22,62;50,28;56,23;1:56.78;4:01.09;8:38.57;9:38.31;14:49.45;31:22.37;22:50;47:15;;;;13,93;15,31;48,06;57,05;
841;;15,32;22,63;50,29;56,25;1:56.82;4:01.18;8:38.76;9:38.57;14:49.78;31:23.12;22:51;47:17;;4,43;6,62;;15,29;48,01;56,98;
840;11,16;;22,64;50,31;56,27;1:56.86;4:01.26;8:38.95;9:38.83;14:50.11;31:23.88;;47:18;;;;13,92;15,27;47,95;56,92;
839;;15,33;;50,33;56,3;1:56.90;4:01.35;8:39.14;9:39.09;14:50.44;31:24.63;22:52;47:20;;;6,61;13,91;15,26;47,9;56,85;
838;;15,34;22,65;50,35;56,32;1:56.94;4:01.43;8:39.34;9:39.36;14:50.76;31:25.39;22:53;47:22;;4,42;;13,9;15,24;47,84;56,78;
837;11,17;;22,66;50,36;56,34;1:56.98;4:01.52;8:39.53;9:39.62;14:51.09;31:26.14;22:54;47:23;;;6,6;13,89;15,22;47,79;56,72;
836;;15,35;22,67;50,38;56,37;1:57.02;4:01.60;8:39.72;9:39.88;14:51.42;31:26.90;22:55;47:25;1,91;;;13,88;15,21;47,73;56,65;
835;;;;50,4;56,39;1:57.06;4:01.69;8:39.91;9:40.15;14:51.75;31:27.65;22:56;47:27;;4,41;6,59;13,87;15,19;47,68;56,59;
834;11,18;15,36;22,68;50,41;56,41;1:57.09;4:01.78;8:40.10;9:40.41;14:52.08;31:28.41;;47:28;;;;13,86;15,17;47,62;56,52;
833;;15,37;22,69;50,43;56,44;1:57.13;4:01.86;8:40.29;9:40.67;14:52.40;31:29.16;22:57;47:30;;4,4;6,58;13,85;15,16;47,57;56,46;
832;;;22,7;50,45;56,46;1:57.17;4:01.95;8:40.49;9:40.94;14:52.73;31:29.92;22:58;47:32;;;;13,84;15,14;47,52;56,39;
831;11,19;15,38;22,71;50,47;56,48;1:57.21;4:02.03;8:40.68;9:41.20;14:53.06;31:30.68;22:59;47:33;;;;13,83;15,12;47,46;56,33;
830;;15,39;;50,48;56,51;1:57.25;4:02.12;8:40.87;9:41.47;14:53.39;31:31.44;23:00;47:35;;4,39;6,57;13,82;15,11;47,41;56,26;
829;;;22,72;50,5;56,53;1:57.29;4:02.21;8:41.06;9:41.73;14:53.72;31:32.19;23:01;47:36;;;;13,81;15,09;47,35;56,2;
828;11,2;15,4;22,73;50,52;56,55;1:57.33;4:02.29;8:41.26;9:41.99;14:54.05;31:32.95;;47:38;;;6,56;13,8;15,07;47,3;56,13;
827;;;22,74;50,53;56,58;1:57.37;4:02.38;8:41.45;9:42.26;14:54.38;31:33.71;23:02;47:40;1,9;4,38;;13,79;15,06;47,24;56,07;
826;;15,41;;50,55;56,6;1:57.41;4:02.46;8:41.64;9:42.52;14:54.71;31:34.47;23:03;47:41;;;6,55;13,78;15,04;47,19;56;
825;11,21;15,42;22,75;50,57;56,62;1:57.45;4:02.55;8:41.83;9:42.79;14:55.04;31:35.23;23:04;47:43;;4,37;;13,77;15,02;47,13;55,93;
824;;;22,76;50,59;56,65;1:57.48;4:02.64;8:42.03;9:43.05;14:55.37;31:35.99;23:05;47:45;;;6,54;13,76;15,01;47,08;55,87;
823;;15,43;22,77;50,6;56,67;1:57.52;4:02.72;8:42.22;9:43.32;14:55.70;31:36.75;23:06;47:46;;;;13,75;14,99;47,02;55,8;
822;11,22;15,44;;50,62;56,69;1:57.56;4:02.81;8:42.41;9:43.58;14:56.03;31:37.52;;47:48;;4,36;6,53;13,74;14,97;46,97;55,74;
821;;;22,78;50,64;56,72;1:57.60;4:02.90;8:42.61;9:43.85;14:56.36;31:38.28;23:07;47:50;;;;13,73;14,95;46,91;55,67;
820;11,23;15,45;22,79;50,66;56,74;1:57.64;4:02.98;8:42.80;9:44.12;14:56.69;31:39.04;23:08;47:51;;;6,52;13,72;14,94;46,86;55,61;
819;;;22,8;50,67;56,77;1:57.68;4:03.07;8:42.99;9:44.38;14:57.03;31:39.80;23:09;47:53;;4,35;;13,71;14,92;46,8;55,54;
818;;15,46;22,81;50,69;56,79;1:57.72;4:03.16;8:43.19;9:44.65;14:57.36;31:40.57;23:10;47:55;1,89;;6,51;13,7;14,9;46,75;55,48;
817;11,24;15,47;;50,71;56,81;1:57.76;4:03.24;8:43.38;9:44.91;14:57.69;31:41.33;23:11;47:56;;4,34;;13,69;14,89;46,69;55,41;
816;;;22,82;50,72;56,84;1:57.80;4:03.33;8:43.57;9:45.18;14:58.02;31:42.10;;47:58;;;6,5;13,68;14,87;46,64;55,35;
815;;15,48;22,83;50,74;56,86;1:57.84;4:03.42;8:43.77;9:45.45;14:58.35;31:42.86;23:12;48:00;;;;13,67;14,85;46,58;55,28;
814;11,25;15,49;22,84;50,76;56,88;1:57.88;4:03.50;8:43.96;9:45.71;14:58.68;31:43.63;23:13;48:01;;4,33;6,49;13,66;14,84;46,53;55,21;
813;;;;50,78;56,91;1:57.92;4:03.59;8:44.16;9:45.98;14:59.02;31:44.39;23:14;48:03;;;;;14,82;46,48;55,15;
812;;15,5;22,85;50,79;56,93;1:57.96;4:03.68;8:44.35;9:46.25;14:59.35;31:45.16;23:15;48:05;;;;13,65;14,8;46,42;55,08;
811;11,26;15,51;22,86;50,81;56,95;1:58.00;4:03.77;8:44.54;9:46.51;14:59.68;31:45.93;23:16;48:06;;4,32;6,48;13,64;14,79;46,37;55,02;
810;;;22,87;50,83;56,98;1:58.03;4:03.85;8:44.74;9:46.78;15:00.02;31:46.69;;48:08;1,88;;;13,63;14,77;46,31;54,95;
809;;15,52;22,88;50,85;57;1:58.07;4:03.94;8:44.93;9:47.05;15:00.35;31:47.46;23:17;48:09;;4,31;6,47;13,62;14,75;46,26;54,89;
808;11,27;;;50,86;57,03;1:58.11;4:04.03;8:45.13;9:47.32;15:00.68;31:48.23;23:18;48:11;;;;13,61;14,74;46,2;54,82;
807;;15,53;22,89;50,88;57,05;1:58.15;4:04.11;8:45.32;9:47.58;15:01.02;31:49.00;23:19;48:13;;;6,46;13,6;14,72;46,15;54,76;
806;;15,54;22,9;50,9;57,07;1:58.19;4:04.20;8:45.52;9:47.85;15:01.35;31:49.77;23:20;48:14;;4,3;;13,59;14,7;46,09;54,69;
805;11,28;;22,91;50,92;57,1;1:58.23;4:04.29;8:45.71;9:48.12;15:01.69;31:50.54;23:21;48:16;;;6,45;13,58;14,68;46,04;54,63;
804;;15,55;;50,93;57,12;1:58.27;4:04.38;8:45.91;9:48.39;15:02.02;31:51.31;23:22;48:18;;;;13,57;14,67;45,98;54,56;
803;11,29;15,56;22,92;50,95;57,15;1:58.31;4:04.46;8:46.10;9:48.66;15:02.35;31:52.08;;48:19;;4,29;6,44;13,56;14,65;45,93;54,49;
802;;;22,93;50,97;57,17;1:58.35;4:04.55;8:46.30;9:48.93;15:02.69;31:52.85;23:23;48:21;;;;13,55;14,63;45,87;54,43;
801;;15,57;22,94;50,99;57,19;1:58.39;4:04.64;8:46.50;9:49.20;15:03.02;31:53.62;23:24;48:23;1,87;4,28;6,43;13,54;14,62;45,82;54,36;
800;11,3;15,58;22,95;51;57,22;1:58.43;4:04.73;8:46.69;9:49.46;15:03.36;31:54.39;23:25;48:24;;;;13,53;14,6;45,76;54,3;58,72
799;;;;51,02;57,24;1:58.47;4:04.81;8:46.89;9:49.73;15:03.70;31:55.16;23:26;48:26;;;6,42;13,52;14,58;45,71;54,23;58,65
798;;15,59;22,96;51,04;57,26;1:58.51;4:04.90;8:47.08;9:50.00;15:04.03;31:55.94;23:27;48:28;;4,27;;13,51;14,57;45,65;54,17;58,58
797;11,31;;22,97;51,06;57,29;1:58.55;4:04.99;8:47.28;9:50.27;15:04.37;31:56.71;;48:30;;;6,41;13,5;14,55;45,6;54,1;58,51
