Puntos;100 ml;110 mv;200 ml;400 ml;400 mv;800 ml;1.500 ml;3.000 ml;3.000 obs;5.000 ml;10.000 ml;5.000 mm;10.000 mm;Salto de Altura;Salto con Pertiga;Salto de Longitud;Triple Salto;Lanzamiento de Peso;Lanzamiento de Disco;Lanzamiento de Martillo;Lanzamiento de Javalina
796;;15,6;22,98;51,07;57,31;1:58.59;4:05.08;8:47.48;9:50.54;15:04.70;31:57.48;23:28;48:31;;;;13,49;14,53;45,54;54,04;58,44
795;;15,61;22,99;51,09;57,34;1:58.63;4:05.17;8:47.67;9:50.81;15:05.04;31:58.26;23:29;48:33;;4,26;;13,48;14,52;45,49;53,97;58,37
794;11,32;;;51,11;57,36;1:58.67;4:05.25;8:47.87;9:51.08;15:05.38;31:59.03;23:30;48:35;;;6,4;13,47;14,5;45,43;53,91;58,3
793;;15,62;23;51,13;57,38;1:58.71;4:05.34;8:48.06;9:51.35;15:05.71;31:59.81;23:31;48:36;;4,25;;13,46;14,48;45,38;53,84;58,23
792;;15,63;23,01;51,14;57,41;1:58.75;4:05.43;8:48.26;9:51.62;15:06.05;32:00.58;23:32;48:38;1,86;;6,39;13,45;14,46;45,32;53,77;58,15
791;11,33;;23,02;51,16;57,43;1:58.79;4:05.52;8:48.46;9:51.89;15:06.39;32:01.36;23:33;48:40;;;;13,44;14,45;45,27;53,71;58,08
790;;15,64;;51,18;57,46;1:58.83;4:05.61;8:48.66;9:52.16;15:06.72;32:02.14;;48:41;;4,24;6,38;13,43;14,43;45,22;53,64;58,01
789;11,34;15,65;23,03;51,2;57,48;1:58.87;4:05.69;8:48.85;9:52.43;15:07.06;32:02.92;23:34;48:43;;;;13,42;14,41;45,16;53,58;57,94
788;;;23,04;51,21;57,51;1:58.91;4:05.78;8:49.05;9:52.71;15:07.40;32:03.69;23:35;48:45;;4,23;6,37;13,41;14,4;45,11;53,51;57,87
787;;15,66;23,05;51,23;57,53;1:58.95;4:05.87;8:49.25;9:52.98;15:07.74;32:04.47;23:36;48:46;;;;13,4;14,38;45,05;53,45;57,8
786;11,35;15,67;23,06;51,25;57,55;1:58.99;4:05.96;8:49.44;9:53.25;15:08.08;32:05.25;23:37;48:48;;;6,36;13,39;14,36;45;53,38;57,73
785;;;;51,27;57,58;1:59.03;4:06.05;8:49.64;9:53.52;15:08.41;32:06.03;23:38;48:50;;4,22;;13,38;14,35;44,94;53,32;57,66
784;;15,68;23,07;51,28;57,6;1:59.07;4:06.14;8:49.84;9:53.79;15:08.75;32:06.81;23:39;48:51;1,85;;6,35;13,37;14,33;44,89;53,25;57,59
783;11,36;;23,08;51,3;57,63;1:59.11;4:06.22;8:50.04;9:54.06;15:09.09;32:07.59;;48:53;;;;13,36;14,31;44,83;53,18;57,52
782;;15,69;23,09;51,32;57,65;1:59.15;4:06.31;8:50.24;9:54.34;15:09.43;32:08.37;23:40;48:55;;4,21;6,34;;14,3;44,78;53,12;57,45
781;;15,7;23,1;51,34;57,67;1:59.19;4:06.40;8:50.43;9:54.61;15:09.77;32:09.15;23:41;48:56;;;;13,35;14,28;44,72;53,05;57,38
780;11,37;;;51,36;57,7;1:59.23;4:06.49;8:50.63;9:54.88;15:10.11;32:09.93;23:42;48:58;;4,2;6,33;13,34;14,26;44,67;52,99;57,3
779;;15,71;23,11;51,37;57,72;1:59.27;4:06.58;8:50.83;9:55.15;15:10.45;32:10.72;23:43;49:00;;;;13,33;14,25;44,61;52,92;57,23
778;;15,72;23,12;51,39;57,75;1:59.31;4:06.67;8:51.03;9:55.43;15:10.79;32:11.50;23:44;49:02;;;6,32;13,32;14,23;44,56;52,86;57,16
777;11,38;;23,13;51,41;57,77;1:59.35;4:06.76;8:51.23;9:55.70;15:11.13;32:12.28;23:45;49:03;;4,19;;13,31;14,21;44,5;52,79;57,09
776;;15,73;23,14;51,43;57,8;1:59.39;4:06.85;8:51.43;9:55.97;15:11.47;32:13.07;;49:05;;;;13,3;14,19;44,45;52,73;57,02
775;11,39;15,74;;51,44;57,82;1:59.43;4:06.94;8:51.63;9:56.24;15:11.81;32:13.85;23:46;49:07;1,84;;6,31;13,29;14,18;44,39;52,66;56,95
774;;;23,15;51,46;57,84;1:59.47;4:07.02;8:51.82;9:56.52;15:12.15;32:14.64;23:47;49:08;;4,18;;13,28;14,16;44,34;52,6;56,88
773;;15,75;23,16;51,48;57,87;1:59.51;4:07.11;8:52.02;9:56.79;15:12.49;32:15.42;23:48;49:10;;;6,3;13,27;14,14;44,28;52,53;56,81
772;11,4;15,76;23,17;51,5;57,89;1:59.55;4:07.20;8:52.22;9:57.07;15:12.83;32:16.21;23:49;49:12;;4,17;;13,26;14,13;44,23;52,46;56,74
771;;;23,18;51,52;57,92;1:59.59;4:07.29;8:52.42;9:57.34;15:13.18;32:16.99;23:50;49:13;;;6,29;13,25;14,11;44,17;52,4;56,67
770;;15,77;;51,53;57,94;1:59.63;4:07.38;8:52.62;9:57.61;15:13.52;32:17.78;23:51;49:15;;;;13,24;14,09;44,12;52,33;56,6
769;11,41;15,78;23,19;51,55;57,97;1:59.67;4:07.47;8:52.82;9:57.89;15:13.86;32:18.57;;49:17;;4,16;6,28;13,23;14,08;44,06;52,27;56,53
768;;;23,2;51,57;57,99;1:59.72;4:07.56;8:53.02;9:58.16;15:14.20;32:19.36;23:52;49:19;;;;13,22;14,06;44,01;52,2;56,45
767;;15,79;23,21;51,59;58,01;1:59.76;4:07.65;8:53.22;9:58.44;15:14.54;32:20.14;23:53;49:20;;;6,27;13,21;14,04;43,96;52,14;56,38
766;11,42;;23,22;51,6;58,04;1:59.80;4:07.74;8:53.42;9:58.71;15:14.89;32:20.93;23:54;49:22;1,83;4,15;;13,2;14,03;43,9;52,07;56,31
765;;15,8;;51,62;58,06;1:59.84;4:07.83;8:53.62;9:58.99;15:15.23;32:21.72;23:55;49:24;;;6,26;13,19;14,01;43,85;52,01;56,24
764;11,43;15,81;23,23;51,64;58,09;1:59.88;4:07.92;8:53.82;9:59.26;15:15.57;32:22.51;23:56;49:25;;4,14;;13,18;13,99;43,79;51,94;56,17
763;;;23,24;51,66;58,11;1:59.92;4:08.01;8:54.02;9:59.54;15:15.92;32:23.30;23:57;49:27;;;6,25;13,17;13,98;43,74;51,87;56,1
762;;15,82;23,25;51,68;58,14;1:59.96;4:08.10;8:54.22;9:59.81;15:16.26;32:24.09;;49:29;;;;13,16;13,96;43,68;51,81;56,03
761;11,44;15,83;23,26;51,69;58,16;2:00.00;4:08.19;8:54.42;10:00.09;15:16.60;32:24.89;23:58;49:31;;4,13;6,24;13,15;13,94;43,63;51,74;55,96
760;;;;51,71;58,19;2:00.04;4:08.28;8:54.62;10:00.37;15:16.95;32:25.68;23:59;49:32;;;;13,14;13,92;43,57;51,68;55,89
759;;15,84;23,27;51,73;58,21;2:00.08;4:08.37;8:54.82;10:00.64;15:17.29;32:26.47;24:00;49:34;;;6,23;13,13;13,91;43,52;51,61;55,82
758;11,45;15,85;23,28;51,75;58,24;2:00.12;4:08.46;8:55.03;10:00.92;15:17.64;32:27.26;24:01;49:36;1,82;4,12;;13,12;13,89;43,46;51,55;55,75
757;;;23,29;51,77;58,26;2:00.16;4:08.55;8:55.23;10:01.19;15:17.98;32:28.06;24:02;49:37;;;;13,11;13,87;43,41;51,48;55,67
756;;15,86;23,3;51,78;58,28;2:00.20;4:08.64;8:55.43;10:01.47;15:18.33;32:28.85;24:03;49:39;;4,11;6,22;13,1;13,86;43,35;51,42;55,6
755;11,46;15,87;;51,8;58,31;2:00.24;4:08.73;8:55.63;10:01.75;15:18.67;32:29.65;24:04;49:41;;;;13,09;13,84;43,3;51,35;55,53
754;;;23,31;51,82;58,33;2:00.29;4:08.82;8:55.83;10:02.03;15:19.02;32:30.44;;49:43;;;6,21;13,08;13,82;43,24;51,28;55,46
753;11,47;15,88;23,32;51,84;58,36;2:00.33;4:08.91;8:56.03;10:02.30;15:19.36;32:31.24;24:05;49:44;;4,1;;13,07;13,81;43,19;51,22;55,39
752;;15,89;23,33;51,86;58,38;2:00.37;4:09.00;8:56.24;10:02.58;15:19.71;32:32.03;24:06;49:46;;;6,2;13,06;13,79;43,13;51,15;55,32
751;;;23,34;51,87;58,41;2:00.41;4:09.09;8:56.44;10:02.86;15:20.05;32:32.83;24:07;49:48;;;;13,05;13,77;43,08;51,09;55,25
750;11,48;15,9;;51,89;58,43;2:00.45;4:09.18;8:56.64;10:03.14;15:20.40;32:33.63;24:08;49:49;;4,09;6,19;13,04;13,76;43,02;51,02;55,18
749;;15,91;23,35;51,91;58,46;2:00.49;4:09.27;8:56.84;10:03.41;15:20.75;32:34.42;24:09;49:51;1,81;;;;13,74;42,97;50,96;55,11
748;;;23,36;51,93;58,48;2:00.53;4:09.36;8:57.04;10:03.69;15:21.09;32:35.22;24:10;49:53;;4,08;6,18;13,03;13,72;42,91;50,89;55,04
747;11,49;15,92;23,37;51,95;58,51;2:00.57;4:09.45;8:57.25;10:03.97;15:21.44;32:36.02;24:11;49:55;;;;13,02;13,7;42,86;50,83;54,97
746;;15,93;23,38;51,96;58,53;2:00.61;4:09.54;8:57.45;10:04.25;15:21.79;32:36.82;;49:56;;;6,17;13,01;13,69;42,8;50,76;54,9
745;11,5;;;51,98;58,56;2:00.65;4:09.63;8:57.65;10:04.53;15:22.14;32:37.62;24:12;49:58;;4,07;;13;13,67;42,75;50,69;54,82
744;;15,94;23,39;52;58,58;2:00.70;4:09.72;8:57.86;10:04.81;15:22.48;32:38.42;24:13;50:00;;;6,16;12,99;13,65;42,69;50,63;54,75
743;;15,95;23,4;52,02;58,61;2:00.74;4:09.82;8:58.06;10:05.09;15:22.83;32:39.22;24:14;50:02;;;;12,98;13,64;42,64;50,56;54,68
742;11,51;;23,41;52,04;58,63;2:00.78;4:09.91;8:58.26;10:05.36;15:23.18;32:40.02;24:15;50:03;;4,06;6,15;12,97;13,62;42,58;50,5;54,61
741;;15,96;23,42;52,06;58,66;2:00.82;4:10.00;8:58.47;10:05.64;15:23.53;32:40.83;24:16;50:05;1,8;;;12,96;13,6;42,53;50,43;54,54
740;;15,97;23,43;52,07;58,68;2:00.86;4:10.09;8:58.67;10:05.92;15:23.88;32:41.63;24:17;50:07;;4,05;6,14;12,95;13,59;42,47;50,37;54,47
739;11,52;;;52,09;58,71;2:00.90;4:10.18;8:58.87;10:06.20;15:24.22;32:42.43;24:18;50:09;;;;12,94;13,57;42,42;50,3;54,4
738;;15,98;23,44;52,11;58,73;2:00.94;4:10.27;8:59.08;10:06.48;15:24.57;32:43.24;;50:10;;;6,13;12,93;13,55;42,36;50,24;54,33
737;;15,99;23,45;52,13;58,76;2:00.98;4:10.36;8:59.28;10:06.76;15:24.92;32:44.04;24:19;50:12;;4,04;;12,92;13,54;42,31;50,17;54,26
736;11,53;;23,46;52,15;58,78;2:01.03;4:10.45;8:59.48;10:07.04;15:25.27;32:44.85;24:20;50:14;;;;12,91;13,52;42,26;50,1;54,19
735;;16;23,47;52,16;58,81;2:01.07;4:10.55;8:59.69;10:07.32;15:25.62;32:45.65;24:21;50:15;;4,03;6,12;12,9;13,5;42,2;50,04;54,12
734;11,54;16,01;;52,18;58,83;2:01.11;4:10.64;8:59.89;10:07.61;15:25.97;32:46.46;24:22;50:17;;;;12,89;13,48;42,15;49,97;54,04
733;;;23,48;52,2;58,85;2:01.15;4:10.73;9:00.10;10:07.89;15:26.32;32:47.26;24:23;50:19;;;6,11;12,88;13,47;42,09;49,91;53,97
732;;16,02;23,49;52,22;58,88;2:01.19;4:10.82;9:00.30;10:08.17;15:26.67;32:48.07;24:24;50:21;1,79;4,02;;12,87;13,45;42,04;49,84;53,9
731;11,55;16,03;23,5;52,24;58,91;2:01.23;4:10.91;9:00.51;10:08.45;15:27.02;32:48.88;24:25;50:22;;;6,1;12,86;13,43;41,98;49,78;53,83
730;;;23,51;52,26;58,93;2:01.28;4:11.00;9:00.71;10:08.73;15:27.38;32:49.69;24:26;50:24;;;;12,85;13,42;41,93;49,71;53,76
729;;16,04;23,52;52,27;58,96;2:01.32;4:11.10;9:00.92;10:09.01;15:27.73;32:50.49;;50:26;;4,01;6,09;12,84;13,4;41,87;49,65;53,69
728;11,56;16,05;;52,29;58,98;2:01.36;4:11.19;9:01.12;10:09.29;15:28.08;32:51.30;24:27;50:28;;;;12,83;13,38;41,82;49,58;53,62
727;;;23,53;52,31;59,01;2:01.40;4:11.28;9:01.33;10:09.58;15:28.43;32:52.11;24:28;50:29;;4;6,08;12,82;13,37;41,76;49,51;53,55
726;11,57;16,06;23,54;52,33;59,03;2:01.44;4:11.37;9:01.53;10:09.86;15:28.78;32:52.92;24:29;50:31;;;;12,81;13,35;41,71;49,45;53,48
725;;16,07;23,55;52,35;59,06;2:01.48;4:11.46;9:01.74;10:10.14;15:29.13;32:53.73;24:30;50:33;;;6,07;12,8;13,33;41,65;49,38;53,41
724;;;23,56;52,37;59,08;2:01.53;4:11.56;9:01.94;10:10.42;15:29.49;32:54.55;24:31;50:35;;3,99;;12,79;13,32;41,6;49,32;53,34
723;11,58;16,08;23,57;52,38;59,11;2:01.57;4:11.65;9:02.15;10:10.71;15:29.84;32:55.36;24:32;50:36;1,78;;6,06;12,78;13,3;41,54;49,25;53,26
722;;16,09;;52,4;59,13;2:01.61;4:11.74;9:02.36;10:10.99;15:30.19;32:56.17;24:33;50:38;;;;12,77;13,28;41,49;49,19;53,19
721;;;23,58;52,42;59,16;2:01.65;4:11.83;9:02.56;10:11.27;15:30.55;32:56.98;24:34;50:40;;3,98;6,05;12,76;13,27;41,43;49,12;53,12
720;11,59;16,1;23,59;52,44;59,18;2:01.69;4:11.92;9:02.77;10:11.56;15:30.90;32:57.80;;50:42;;;;12,75;13,25;41,38;49,06;53,05
719;;16,11;23,6;52,46;59,21;2:01.73;4:12.02;9:02.98;10:11.84;15:31.25;32:58.61;24:35;50:44;;3,97;6,04;12,74;13,23;41,32;48,99;52,98
718;11,6;;23,61;52,48;59,23;2:01.78;4:12.11;9:03.18;10:12.13;15:31.61;32:59.43;24:36;50:45;;;;12,73;13,21;41,27;48,92;52,91
717;;16,12;;52,49;59,26;2:01.82;4:12.20;9:03.39;10:12.41;15:31.96;33:00.24;24:37;50:47;;;6,03;12,72;13,2;41,21;48,86;52,84
716;;16,13;23,62;52,51;59,28;2:01.86;4:12.29;9:03.60;10:12.69;15:32.31;33:01.06;24:38;50:49;;3,96;;12,71;13,18;41,16;48,79;52,77
715;11,61;;23,63;52,53;59,31;2:01.90;4:12.39;9:03.80;10:12.98;15:32.67;33:01.88;24:39;50:51;1,77;;;12,7;13,16;41,1;48,73;52,7
714;;16,14;23,64;52,55;59,33;2:01.94;4:12.48;9:04.01;10:13.26;15:33.02;33:02.69;24:40;50:52;;;6,02;12,69;13,15;41,05;48,66;52,63
713;;16,15;23,65;52,57;59,36;2:01.99;4:12.57;9:04.22;10:13.55;15:33.38;33:03.51;24:41;50:54;;3,95;;;13,13;40,99;48,6;52,55
712;11,62;;23,66;52,59;59,38;2:02.03;4:12.67;9:04.42;10:13.83;15:33.73;33:04.33;24:42;50:56;;;6,01;12,68;13,11;40,94;48,53;52,48
711;;16,16;;52,61;59,41;2:02.07;4:12.76;9:04.63;10:14.12;15:34.09;33:05.15;;50:58;;3,94;;12,67;13,1;40,88;48,46;52,41
710;11,63;16,17;23,67;52,62;59,43;2:02.11;4:12.85;9:04.84;10:14.40;15:34.45;33:05.97;24:43;50:59;;;6;12,66;13,08;40,83;48,4;52,34
709;;;23,68;52,64;59,46;2:02.16;4:12.94;9:05.05;10:14.69;15:34.80;33:06.79;24:44;51:01;;;;12,65;13,06;40,77;48,33;52,27
708;;16,18;23,69;52,66;59,49;2:02.20;4:13.04;9:05.26;10:14.98;15:35.16;33:07.61;24:45;51:03;;3,93;5,99;12,64;13,05;40,72;48,27;52,2
707;11,64;16,19;23,7;52,68;59,51;2:02.24;4:13.13;9:05.46;10:15.26;15:35.52;33:08.43;24:46;51:05;;;;12,63;13,03;40,66;48,2;52,13
706;;;23,71;52,7;59,54;2:02.28;4:13.22;9:05.67;10:15.55;15:35.87;33:09.25;24:47;51:07;1,76;3,92;5,98;12,62;13,01;40,61;48,14;52,06
705;;16,2;;52,72;59,56;2:02.32;4:13.32;9:05.88;10:15.83;15:36.23;33:10.07;24:48;51:08;;;;12,61;12,99;40,55;48,07;51,99
704;11,65;16,21;23,72;52,74;59,59;2:02.37;4:13.41;9:06.09;10:16.12;15:36.59;33:10.90;24:49;51:10;;;5,97;12,6;12,98;40,5;48,01;51,92
703;;16,22;23,73;52,75;59,61;2:02.41;4:13.50;9:06.30;10:16.41;15:36.94;33:11.72;24:50;51:12;;3,91;;12,59;12,96;40,44;47,94;51,85
702;11,66;;23,74;52,77;59,64;2:02.45;4:13.60;9:06.51;10:16.70;15:37.30;33:12.54;24:51;51:14;;;5,96;12,58;12,94;40,39;47,87;51,77
701;;16,23;23,75;52,79;59,66;2:02.49;4:13.69;9:06.72;10:16.98;15:37.66;33:13.37;24:52;51:15;;;;12,57;12,93;40,33;47,81;51,7
700;;16,24;23,76;52,81;59,69;2:02.54;4:13.79;9:06.93;10:17.27;15:38.02;33:14.19;;51:17;;3,9;5,95;12,56;12,91;40,28;47,74;51,63
699;11,67;;;52,83;59,71;2:02.58;4:13.88;9:07.14;10:17.56;15:38.38;33:15.02;24:53;51:19;;;;12,55;12,89;40,22;47,68;51,56
698;;16,25;23,77;52,85;59,74;2:02.62;4:13.97;9:07.34;10:17.85;15:38.74;33:15.85;24:54;51:21;1,75;3,89;5,94;12,54;12,88;40,17;47,61;51,49
697;11,68;16,26;23,78;52,87;59,77;2:02.66;4:14.07;9:07.55;10:18.13;15:39.10;33:16.67;24:55;51:23;;;;12,53;12,86;40,12;47,55;51,42
696;;;23,79;52,89;59,79;2:02.71;4:14.16;9:07.76;10:18.42;15:39.46;33:17.50;24:56;51:24;;;5,93;12,52;12,84;40,06;47,48;51,35
695;;16,27;23,8;52,9;59,82;2:02.75;4:14.25;9:07.97;10:18.71;15:39.82;33:18.33;24:57;51:26;;3,88;;12,51;12,83;40,01;47,41;51,28
694;11,69;16,28;23,81;52,92;59,84;2:02.79;4:14.35;9:08.18;10:19.00;15:40.18;33:19.16;24:58;51:28;;;;12,5;12,81;39,95;47,35;51,21
693;;;23,82;52,94;59,87;2:02.83;4:14.44;9:08.39;10:19.29;15:40.54;33:19.99;24:59;51:30;;;5,92;12,49;12,79;39,9;47,28;51,14
692;;16,29;;52,96;59,89;2:02.88;4:14.54;9:08.61;10:19.58;15:40.90;33:20.82;25:00;51:32;;3,87;;12,48;12,77;39,84;47,22;51,06
691;11,7;16,3;23,83;52,98;59,92;2:02.92;4:14.63;9:08.82;10:19.87;15:41.26;33:21.65;25:01;51:33;;;5,91;12,47;12,76;39,79;47,15;50,99
690;;;23,84;53;59,95;2:02.96;4:14.73;9:09.03;10:20.16;15:41.62;33:22.48;;51:35;;3,86;;12,46;12,74;39,73;47,09;50,92
689;11,71;16,31;23,85;53,02;59,97;2:03.01;4:14.82;9:09.24;10:20.45;15:41.98;33:23.31;25:02;51:37;1,74;;5,9;12,45;12,72;39,68;47,02;50,85
688;;16,32;23,86;53,04;1:00.00;2:03.05;4:14.91;9:09.45;10:20.74;15:42.34;33:24.14;25:03;51:39;;;;12,44;12,71;39,62;46,96;50,78
687;;;23,87;53,06;1:00.02;2:03.09;4:15.01;9:09.66;10:21.03;15:42.70;33:24.98;25:04;51:41;;3,85;5,89;12,43;12,69;39,57;46,89;50,71
686;11,72;16,33;;53,07;1:00.05;2:03.13;4:15.10;9:09.87;10:21.32;15:43.06;33:25.81;25:05;51:42;;;;12,42;12,67;39,51;46,82;50,64
685;;16,34;23,88;53,09;1:00.07;2:03.18;4:15.20;9:10.08;10:21.61;15:43.43;33:26.64;25:06;51:44;;;5,88;12,41;12,66;39,46;46,76;50,57
684;11,73;16,35;23,89;53,11;1:00.10;2:03.22;4:15.29;9:10.29;10:21.90;15:43.79;33:27.48;25:07;51:46;;3,84;;12,4;12,64;39,4;46,69;50,5
683;;;23,9;53,13;1:00.13;2:03.26;4:15.39;9:10.51;10:22.19;15:44.15;33:28.31;25:08;51:48;;;5,87;12,39;12,62;39,35;46,63;50,43
682;;16,36;23,91;53,15;1:00.15;2:03.31;4:15.48;9:10.72;10:22.48;15:44.52;33:29.15;25:09;51:50;;3,83;;12,38;12,61;39,29;46,56;50,35
681;11,74;16,37;23,92;53,17;1:00.18;2:03.35;4:15.58;9:10.93;10:22.77;15:44.88;33:29.99;25:10;51:51;;;5,86;12,37;12,59;39,24;46,5;50,28
680;;;23,93;53,19;1:00.20;2:03.39;4:15.67;9:11.14;10:23.07;15:45.24;33:30.82;25:11;51:53;1,73;;;12,36;12,57;39,18;46,43;50,21
679;;16,38;;53,21;1:00.23;2:03.43;4:15.77;9:11.36;10:23.36;15:45.61;33:31.66;25:12;51:55;;3,82;5,85;12,35;12,55;39,13;46,36;50,14
678;11,75;16,39;23,94;53,23;1:00.26;2:03.48;4:15.86;9:11.57;10:23.65;15:45.97;33:32.50;;51:57;;;;12,34;12,54;39,07;46,3;50,07
677;;;23,95;53,24;1:00.28;2:03.52;4:15.96;9:11.78;10:23.94;15:46.33;33:33.34;25:13;51:59;;3,81;5,84;12,33;12,52;39,02;46,23;50
676;11,76;16,4;23,96;53,26;1:00.31;2:03.56;4:16.05;9:11.99;10:24.23;15:46.70;33:34.18;25:14;52:01;;;;12,32;12,5;38,96;46,17;49,93
675;;16,41;23,97;53,28;1:00.33;2:03.61;4:16.15;9:12.21;10:24.53;15:47.06;33:35.02;25:15;52:02;;;5,83;12,31;12,49;38,91;46,1;49,86
674;;;23,98;53,3;1:00.36;2:03.65;4:16.25;9:12.42;10:24.82;15:47.43;33:35.86;25:16;52:04;;3,8;;12,3;12,47;38,85;46,04;49,79
673;11,77;16,42;;53,32;1:00.39;2:03.69;4:16.34;9:12.63;10:25.11;15:47.80;33:36.70;25:17;52:06;;;;12,29;12,45;38,8;45,97;49,72
672;;16,43;23,99;53,34;1:00.41;2:03.74;4:16.44;9:12.85;10:25.41;15:48.16;33:37.55;25:18;52:08;1,72;;5,82;12,28;12,44;38,74;45,9;49,64
671;11,78;16,44;24;53,36;1:00.44;2:03.78;4:16.53;9:13.06;10:25.70;15:48.53;33:38.39;25:19;52:10;;3,79;;;12,42;38,69;45,84;49,57
670;;;24,01;53,38;1:00.46;2:03.82;4:16.63;9:13.27;10:25.99;15:48.89;33:39.23;25:20;52:11;;;5,81;12,27;12,4;38,63;45,77;49,5
669;;16,45;24,02;53,4;1:00.49;2:03.87;4:16.72;9:13.49;10:26.29;15:49.26;33:40.08;25:21;52:13;;3,78;;12,26;12,38;38,58;45,71;49,43
668;11,79;16,46;24,03;53,42;1:00.52;2:03.91;4:16.82;9:13.70;10:26.58;15:49.63;33:40.92;25:22;52:15;;;5,8;12,25;12,37;38,52;45,64;49,36
667;;;24,04;53,44;1:00.54;2:03.95;4:16.92;9:13.92;10:26.88;15:49.99;33:41.77;25:23;52:17;;;;12,24;12,35;38,47;45,58;49,29
666;;16,47;24,05;53,45;1:00.57;2:04.00;4:17.01;9:14.13;10:27.17;15:50.36;33:42.61;25:24;52:19;;3,77;5,79;12,23;12,33;38,41;45,51;49,22
665;11,8;16,48;;53,47;1:00.60;2:04.04;4:17.11;9:14.35;10:27.47;15:50.73;33:43.46;;52:21;;;;12,22;12,32;38,36;45,44;49,15
664;;;24,06;53,49;1:00.62;2:04.09;4:17.20;9:14.56;10:27.76;15:51.10;33:44.31;25:25;52:22;;;5,78;12,21;12,3;38,3;45,38;49,08
663;11,81;16,49;24,07;53,51;1:00.65;2:04.13;4:17.30;9:14.78;10:28.06;15:51.47;33:45.15;25:26;52:24;1,71;3,76;;12,2;12,28;38,25;45,31;49
662;;16,5;24,08;53,53;1:00.67;2:04.17;4:17.40;9:14.99;10:28.35;15:51.83;33:46.00;25:27;52:26;;;5,77;12,19;12,27;38,19;45,25;48,93
661;;16,51;24,09;53,55;1:00.70;2:04.22;4:17.49;9:15.21;10:28.65;15:52.20;33:46.85;25:28;52:28;;3,75;;12,18;12,25;38,14;45,18;48,86
660;11,82;;24,1;53,57;1:00.73;2:04.26;4:17.59;9:15.42;10:28.95;15:52.57;33:47.70;25:29;52:30;;;5,76;12,17;12,23;38,08;45,12;48,79
659;;16,52;24,11;53,59;1:00.75;2:04.30;4:17.69;9:15.64;10:29.24;15:52.94;33:48.55;25:30;52:32;;;;12,16;12,22;38,03;45,05;48,72
658;11,83;16,53;;53,61;1:00.78;2:04.35;4:17.78;9:15.85;10:29.54;15:53.31;33:49.40;25:31;52:33;;3,74;5,75;12,15;12,2;37,97;44,98;48,65
657;;;24,12;53,63;1:00.81;2:04.39;4:17.88;9:16.07;10:29.84;15:53.68;33:50.26;25:32;52:35;;;;12,14;12,18;37,92;44,92;48,58
656;;16,54;24,13;53,65;1:00.83;2:04.44;4:17.98;9:16.29;10:30.13;15:54.05;33:51.11;25:33;52:37;;3,73;5,74;12,13;12,16;37,86;44,85;48,51
655;11,84;16,55;24,14;53,67;1:00.86;2:04.48;4:18.07;9:16.50;10:30.43;15:54.42;33:51.96;25:34;52:39;1,7;;;12,12;12,15;37,81;44,79;48,44
654;;;24,15;53,69;1:00.89;2:04.52;4:18.17;9:16.72;10:30.73;15:54.79;33:52.81;25:35;52:41;;;5,73;12,11;12,13;37,75;44,72;48,37
653;11,85;16,56;24,16;53,71;1:00.91;2:04.57;4:18.27;9:16.94;10:31.03;15:55.16;33:53.67;25:36;52:43;;3,72;;12,1;12,11;37,7;44,66;48,29
652;;16,57;24,17;53,72;1:00.94;2:04.61;4:18.36;9:17.15;10:31.32;15:55.54;33:54.52;25:37;52:45;;;5,72;12,09;12,1;37,64;44,59;48,22
651;;16,58;;53,74;1:00.97;2:04.65;4:18.46;9:17.37;10:31.62;15:55.91;33:55.38;25:38;52:46;;;;12,08;12,08;37,59;44,52;48,15
650;11,86;;24,18;53,76;1:00.99;2:04.70;4:18.56;9:17.59;10:31.92;15:56.28;33:56.24;25:39;52:48;;3,71;;12,07;12,06;37,53;44,46;48,08
649;;16,59;24,19;53,78;1:01.02;2:04.74;4:18.66;9:17.80;10:32.22;15:56.65;33:57.09;;52:50;;;5,71;12,06;12,05;37,48;44,39;48,01
648;11,87;16,6;24,2;53,8;1:01.04;2:04.79;4:18.75;9:18.02;10:32.52;15:57.02;33:57.95;25:40;52:52;;3,7;;12,05;12,03;37,42;44,33;47,94
